experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,RandomForest,Ensemble,2,5,4460,1114,0.9787541329227718,0.9632107023411371,0.9948085700975491,0.9989776402267273,0.9575154834845905,0.9801126682199117,0.9901256732495511,0.912751677852349,959,6,5,144,28.25839938500002,49.67272800719603,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,1,4459,1115,0.9677199889987407,0.9436619718309859,0.9844021554953536,0.9932746953464783,0.9369579726182593,0.9491468311865161,0.9856502242152466,0.8993288590604027,965,1,15,134,2.0531083909999666,19.346319282497955,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,1,4459,1115,0.9781352671989789,0.9619377162629758,0.987851543436066,0.9943237872913974,0.956889329904284,0.9659253546764489,0.9901345291479821,0.9328859060402684,965,1,10,139,2.203279792999979,15.648452017966001,8
E1,word,full,LinearSVM,Kernel (linear),3,1,4459,1115,0.9762175613224315,0.9586206896551724,0.9855640540500985,0.992572984840274,0.9529196337090489,0.9654077563327637,0.989237668161435,0.9328859060402684,964,2,10,139,2.3343355090000273,14.070511210754903,8
E1,word,full,kNN,Instance-based,3,1,4459,1115,0.9462455312773501,0.9057971014492754,0.9604561794727349,0.979737240679756,0.8962970876947277,0.9184278905609515,0.9766816143497757,0.7986577181208053,964,2,24,125,3.171695675999956,62.44849506726043,8
E1,word,full,RandomForest,Ensemble,3,1,4459,1115,0.9563988624244579,0.9241379310344827,0.97783671606139,0.9953311934636708,0.9132668081438138,0.9460412411244042,0.9802690582959641,0.8322147651006712,959,7,15,134,27.91237312100003,34.54179641256623,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,2,4459,1115,0.9741598612351569,0.9550173010380623,0.9777843824528754,0.9867578195561855,0.9489345742446883,0.962052051634777,0.9883408071748879,0.8791946308724832,964,2,11,138,2.1829977029999554,14.478251121100776,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,2,4459,1115,0.9651402726249532,0.9395973154362416,0.9764719351996921,0.986702238525991,0.9302805452499062,0.9651402726249532,0.9838565022421525,0.8926174496644296,957,9,9,140,2.274266078999972,15.201859192803067,8
E1,word,full,LinearSVM,Kernel (linear),3,2,4459,1115,0.9725747737111373,0.9523809523809523,0.9782846119664415,0.9884669362346632,0.9452671675831196,0.9672106659996943,0.9874439461883409,0.9060402684563759,961,5,9,140,2.4946171220000224,15.192258296023928,8
E1,word,full,kNN,Instance-based,3,2,4459,1115,0.9596499862484258,0.9295774647887324,0.9571418130777954,0.9811371878777773,0.9207979023994672,0.9414002251031723,0.9820627802690582,0.8859060402684564,963,3,17,132,3.4072416559999965,65.79124215246918,8
E1,word,full,RandomForest,Ensemble,3,2,4459,1115,0.9664066750672132,0.9415807560137457,0.9725351370564637,0.9893770756040963,0.9331762971359685,0.9571435519057345,0.9847533632286996,0.8187919463087249,961,5,12,137,28.35143175999997,36.17527892373445,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,3,4459,1115,0.968290081763242,0.9448275862068966,0.9642764949656148,0.986362694300518,0.9373277904722963,0.9551122625215889,0.9856502242152466,0.9133333333333333,962,3,13,137,2.16059854599996,15.043442152442049,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,3,4459,1115,0.9719236524792081,0.951048951048951,0.9825190982443981,0.9939067357512953,0.9453576336491963,0.9533333333333334,0.9874439461883409,0.94,965,0,14,136,2.2160530310000013,16.731973094143306,8
E1,word,full,LinearSVM,Kernel (linear),3,3,4459,1115,0.9782631426905497,0.9621993127147767,0.983556183967246,0.9949222797927462,0.9571380201155116,0.9661485319516407,0.9901345291479821,0.94,964,1,10,140,2.6805484630000365,20.034074439519884,8
E1,word,full,kNN,Instance-based,3,3,4459,1115,0.9506869913904942,0.9136690647482014,0.9434417495118428,0.9679758203799654,0.9051619948242803,0.9228151986183074,0.97847533632287,0.8866666666666667,964,1,23,127,3.186907131000112,52.62986816139465,8
E1,word,full,RandomForest,Ensemble,3,3,4459,1115,0.9703588309416586,0.9484536082474226,0.9819624553408991,0.9946943005181347,0.9413216600943365,0.9584455958549223,0.9865470852017937,0.8866666666666667,962,3,12,138,28.589497542999993,58.98209955163853,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,4,4459,1115,0.9592144936169769,0.9292929292929293,0.9803605063836407,0.9947668393782384,0.9184926283216182,0.9553367875647669,0.9811659192825112,0.8866666666666667,956,9,12,138,2.1569370139999364,13.450349775776955,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,4,4459,1115,0.9540408342722102,0.9205298013245033,0.9795415103639,0.995167530224525,0.9081089409794629,0.9565975820379966,0.97847533632287,0.8933333333333333,952,13,11,139,2.32321768099996,16.60869147976699,8
E1,word,full,LinearSVM,Kernel (linear),3,4,4459,1115,0.9628870494459774,0.9355932203389831,0.9807310994961246,0.9952158894645942,0.9259539966886717,0.9563730569948187,0.9829596412556054,0.8933333333333333,958,7,12,138,2.3137680980000823,16.287199999948374,8
E1,word,full,kNN,Instance-based,3,4,4459,1115,0.9515799834981109,0.9154929577464789,0.9472366502054599,0.9767979274611399,0.9050912317786715,0.9312607944732297,0.97847533632287,0.7866666666666666,961,4,20,130,3.2863479169999437,66.22807174889583,8
E1,word,full,RandomForest,Ensemble,3,4,4459,1115,0.9563988624244579,0.9241379310344827,0.9689278788705761,0.9885768566493955,0.9135308836442456,0.9435578583765112,0.9802690582959641,0.8066666666666666,959,6,16,134,27.67008366099992,57.442584753341336,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,5,4460,1114,0.9762143695953881,0.9586206896551724,0.981005946651342,0.9916715930034427,0.9529133819445323,0.9654066835900824,0.9892280071813285,0.9328859060402684,963,2,10,139,2.1878966780000155,15.013028725291731,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,5,4460,1114,0.9823160568299072,0.9692832764505119,0.9827034164571206,0.9931181973084814,0.9648199217764313,0.9754737976840422,0.9919210053859964,0.9530201342281879,963,2,7,142,2.342432396999925,15.178393177799208,8
E1,word,full,LinearSVM,Kernel (linear),3,5,4460,1114,0.9785106140450868,0.9627118644067797,0.9822593044990902,0.9929791007406892,0.9570876552482294,0.9744375282539903,0.9901256732495511,0.9530201342281879,961,4,7,142,2.427926898999999,15.05737073616394,8
E1,word,full,kNN,Instance-based,3,5,4460,1114,0.9589005718502122,0.9280575539568345,0.9565920695015592,0.9749869596967694,0.9209737721523926,0.9328859060402684,0.9820466786355476,0.9261744966442953,965,0,20,129,3.2548585549999416,56.662722621163645,8
E1,word,full,RandomForest,Ensemble,3,5,4460,1114,0.9762143695953881,0.9586206896551724,0.9806899689532715,0.989369544806482,0.9529133819445323,0.9654066835900824,0.9892280071813285,0.9261744966442953,963,2,10,139,27.02757153999994,37.86202603238572,8
