experiment,algorithm,repeat,fold,best_params,inner_best_macro_f1
E2,MultinomialNB,2,2,"{""alpha"": 0.03}",0.9731387609220432
E2,LogisticRegression,2,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9837115257067905
E2,LinearSVM,2,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9831964727739954
E2,kNN,2,2,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9617037284770055
E2,RandomForest,2,2,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9744900126922763
E2,MultinomialNB,2,3,"{""alpha"": 0.01}",0.9734669282727859
E2,LogisticRegression,2,3,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9797150753991973
E2,LinearSVM,2,3,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9806289965795711
E2,kNN,2,3,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9600981131865161
E2,RandomForest,2,3,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.9692975535481714
E2,MultinomialNB,2,4,"{""alpha"": 0.1}",0.9735223604230129
E2,LogisticRegression,2,4,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9822530303994803
E2,LinearSVM,2,4,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9817075590735601
E2,kNN,2,4,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9604613103048343
E2,RandomForest,2,4,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.9718559561731234
E2,MultinomialNB,2,5,"{""alpha"": 0.005}",0.9753278653667413
E2,LogisticRegression,2,5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9798388746120231
E2,LinearSVM,2,5,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.979747665022671
E2,kNN,2,5,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9607411311600221
E2,RandomForest,2,5,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9692762071365034
E2,MultinomialNB,3,1,"{""alpha"": 0.03}",0.9756334971913591
E2,LogisticRegression,3,1,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9832458736793804
E2,LinearSVM,3,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.983198413594805
E2,kNN,3,1,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9635349278284262
E2,RandomForest,3,1,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.9770095696752756
E2,MultinomialNB,3,2,"{""alpha"": 0.005}",0.9735099873460404
E2,LogisticRegression,3,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9847631263325253
E2,LinearSVM,3,2,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.9852861665939522
E2,kNN,3,2,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9627750467897916
E2,RandomForest,3,2,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9749882300158377
E2,MultinomialNB,3,3,"{""alpha"": 0.01}",0.976464012863969
E2,LogisticRegression,3,3,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9832360978206537
E2,LinearSVM,3,3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9836837680477416
E2,kNN,3,3,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9606949988145597
E2,RandomForest,3,3,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9713373867459434
E2,MultinomialNB,3,4,"{""alpha"": 0.005}",0.9777514152621545
E2,LogisticRegression,3,4,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9817011704659807
E2,LinearSVM,3,4,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9817011704659807
E2,kNN,3,4,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9623121049145777
E2,RandomForest,3,4,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.968700986173613
E2,MultinomialNB,3,5,"{""alpha"": 0.03}",0.9744307117639878
E2,LogisticRegression,3,5,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9788636383216137
E2,LinearSVM,3,5,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9783211872341284
E2,kNN,3,5,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9586600983499199
E2,RandomForest,3,5,"{""class_weight"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9714625039928508
E3,MultinomialNB,1,1,"{""alpha"": 0.03}",0.9586887320945797
E3,LogisticRegression,1,1,"{""C"": 100.0, ""class_weight"": null}",0.9590123889738497
E3,LinearSVM,1,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9611047534854293
E3,kNN,1,1,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9366580067740551
E3,RandomForest,1,1,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9484888081613704
E3,MultinomialNB,1,2,"{""alpha"": 0.03}",0.9623916824400122
E3,LogisticRegression,1,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9605189043966066
E3,LinearSVM,1,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9612542766891808
E3,kNN,1,2,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9411280561607359
E3,RandomForest,1,2,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9521331247898157
E3,MultinomialNB,1,3,"{""alpha"": 0.03}",0.9614938957377329
E3,LogisticRegression,1,3,"{""C"": 100.0, ""class_weight"": null}",0.9604654667099096
E3,LinearSVM,1,3,"{""C"": 1.0, ""class_weight"": null}",0.9634722732304563
E3,kNN,1,3,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9431855685336307
E3,RandomForest,1,3,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9566303721510793
E3,MultinomialNB,1,4,"{""alpha"": 0.1}",0.9614391760967954
E3,LogisticRegression,1,4,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9652920528807206
E3,LinearSVM,1,4,"{""C"": 1.0, ""class_weight"": null}",0.9634481210085223
E3,kNN,1,4,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9386473054313339
E3,RandomForest,1,4,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9556045324696405
E3,MultinomialNB,1,5,"{""alpha"": 0.03}",0.9629444124599339
E3,LogisticRegression,1,5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9677331045197254
E3,LinearSVM,1,5,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9685258073288626
E3,kNN,1,5,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9425950566631341
E3,RandomForest,1,5,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9503490135493494
E3,MultinomialNB,2,1,"{""alpha"": 0.1}",0.9550430894171469
E3,LogisticRegression,2,1,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9605801309511843
E3,LinearSVM,2,1,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9642530362466908
E3,kNN,2,1,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9342462140940094
E3,RandomForest,2,1,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9476487284202925
E3,MultinomialNB,2,2,"{""alpha"": 0.01}",0.9548448699900418
E3,LogisticRegression,2,2,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.960058191326301
E3,LinearSVM,2,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9598554772956959
E3,kNN,2,2,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9392314034993422
E3,RandomForest,2,2,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9510050117695187
E3,MultinomialNB,2,3,"{""alpha"": 0.1}",0.9680877387737942
E3,LogisticRegression,2,3,"{""C"": 100.0, ""class_weight"": null}",0.9646927153157367
E3,LinearSVM,2,3,"{""C"": 1.0, ""class_weight"": null}",0.9665462443724296
E3,kNN,2,3,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.946580027470174
E3,RandomForest,2,3,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9544462522112864
E3,MultinomialNB,2,4,"{""alpha"": 0.03}",0.9626562992339428
E3,LogisticRegression,2,4,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9602552596172652
E3,LinearSVM,2,4,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9623154167320851
E3,kNN,2,4,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9407696077912515
E3,RandomForest,2,4,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9530405669203764
E3,MultinomialNB,2,5,"{""alpha"": 0.03}",0.9630876033576405
E3,LogisticRegression,2,5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9625957607043363
E3,LinearSVM,2,5,"{""C"": 10.0, ""class_weight"": null}",0.9660174572769803
E3,kNN,2,5,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9395803872365693
E3,RandomForest,2,5,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9546490877675664
E3,MultinomialNB,3,1,"{""alpha"": 0.03}",0.9615026026573155
E3,LogisticRegression,3,1,"{""C"": 100.0, ""class_weight"": null}",0.9626892007701127
E3,LinearSVM,3,1,"{""C"": 10.0, ""class_weight"": null}",0.9666211108110051
E3,kNN,3,1,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9364817660475019
E3,RandomForest,3,1,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9526728406853806
E3,MultinomialNB,3,2,"{""alpha"": 0.005}",0.9582393740797327
E3,LogisticRegression,3,2,"{""C"": 100.0, ""class_weight"": null}",0.9604055095551627
E3,LinearSVM,3,2,"{""C"": 1.0, ""class_weight"": null}",0.961037503183749
E3,kNN,3,2,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.9363386252046245
E3,RandomForest,3,2,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9494302680617799
E3,MultinomialNB,3,3,"{""alpha"": 0.03}",0.9608753934700883
E3,LogisticRegression,3,3,"{""C"": 100.0, ""class_weight"": ""balanced""}",0.9578275401336153
E3,LinearSVM,3,3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9602058790770037
E3,kNN,3,3,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9409357301188885
E3,RandomForest,3,3,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9501877936714833
E3,MultinomialNB,3,4,"{""alpha"": 0.03}",0.9647590275714757
E3,LogisticRegression,3,4,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9680459699576768
E3,LinearSVM,3,4,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.9689201394247485
E3,kNN,3,4,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9487722098190113
E3,RandomForest,3,4,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.954036801898129
E3,MultinomialNB,3,5,"{""alpha"": 0.005}",0.964682798882342
E3,LogisticRegression,3,5,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.9582197894046067
E3,LinearSVM,3,5,"{""C"": 1.0, ""class_weight"": null}",0.960903765612732
E3,kNN,3,5,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9382089660323872
E3,RandomForest,3,5,"{""class_weight"": ""balanced_subsample"", ""min_samples_leaf"": 3, ""n_estimators"": 200}",0.9565320860985547
