experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,LogisticRegression,Linear / probabilistic,3,2,4459,1115,0.9651402726249532,0.9395973154362416,0.976471935199692,0.986702238525991,0.9302805452499062,0.9651402726249532,0.9838565022421524,0.8926174496644296,957,9,9,140,2.274266078999972,15.201859192803068,8
E1,word,full,LinearSVM,Kernel (linear),3,2,4459,1115,0.9725747737111372,0.9523809523809524,0.9782846119664416,0.9884669362346632,0.9452671675831196,0.9672106659996944,0.9874439461883407,0.906040268456376,961,5,9,140,2.4946171220000224,15.192258296023928,8
E1,word,full,kNN,Instance-based,3,2,4459,1115,0.9596499862484258,0.9295774647887324,0.9571418130777954,0.9811371878777772,0.9207979023994672,0.9414002251031724,0.9820627802690582,0.8859060402684564,963,3,17,132,3.4072416559999965,65.79124215246918,8
E1,word,full,RandomForest,Ensemble,3,2,4459,1115,0.9664066750672132,0.9415807560137456,0.9725351370564636,0.9893770756040964,0.9331762971359684,0.9571435519057344,0.9847533632286996,0.8187919463087249,961,5,12,137,28.35143175999997,36.17527892373445,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,3,4459,1115,0.968290081763242,0.9448275862068966,0.9642764949656148,0.986362694300518,0.9373277904722964,0.9551122625215888,0.9856502242152466,0.9133333333333332,962,3,13,137,2.16059854599996,15.043442152442047,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,3,4459,1115,0.971923652479208,0.951048951048951,0.982519098244398,0.9939067357512952,0.9453576336491964,0.9533333333333334,0.9874439461883407,0.94,965,0,14,136,2.2160530310000013,16.731973094143306,8
E1,word,full,LinearSVM,Kernel (linear),3,3,4459,1115,0.9782631426905496,0.9621993127147768,0.983556183967246,0.9949222797927462,0.9571380201155116,0.9661485319516409,0.990134529147982,0.94,964,1,10,140,2.6805484630000365,20.034074439519884,8
E1,word,full,kNN,Instance-based,3,3,4459,1115,0.9506869913904942,0.9136690647482014,0.9434417495118428,0.9679758203799654,0.9051619948242804,0.9228151986183074,0.97847533632287,0.8866666666666667,964,1,23,127,3.186907131000112,52.62986816139465,8
E1,word,full,RandomForest,Ensemble,3,3,4459,1115,0.9703588309416586,0.9484536082474226,0.9819624553408992,0.9946943005181348,0.9413216600943364,0.9584455958549224,0.9865470852017936,0.8866666666666667,962,3,12,138,28.589497542999997,58.98209955163853,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,4,4459,1115,0.9592144936169767,0.9292929292929292,0.9803605063836408,0.9947668393782384,0.9184926283216182,0.9553367875647668,0.9811659192825112,0.8866666666666667,956,9,12,138,2.1569370139999364,13.450349775776957,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,4,4459,1115,0.9540408342722102,0.9205298013245032,0.9795415103639,0.995167530224525,0.9081089409794628,0.9565975820379966,0.97847533632287,0.8933333333333333,952,13,11,139,2.32321768099996,16.60869147976699,8
E1,word,full,LinearSVM,Kernel (linear),3,4,4459,1115,0.9628870494459774,0.9355932203389832,0.9807310994961246,0.9952158894645942,0.9259539966886716,0.9563730569948188,0.9829596412556054,0.8933333333333333,958,7,12,138,2.3137680980000823,16.287199999948374,8
E1,word,full,kNN,Instance-based,3,4,4459,1115,0.9515799834981108,0.9154929577464788,0.94723665020546,0.97679792746114,0.9050912317786716,0.9312607944732296,0.97847533632287,0.7866666666666666,961,4,20,130,3.286347916999944,66.22807174889583,8
E1,word,full,RandomForest,Ensemble,3,4,4459,1115,0.956398862424458,0.9241379310344828,0.968927878870576,0.9885768566493957,0.9135308836442456,0.9435578583765112,0.980269058295964,0.8066666666666666,959,6,16,134,27.67008366099992,57.442584753341336,8
E1,word,full,MultinomialNB,Linear / probabilistic,3,5,4460,1114,0.976214369595388,0.9586206896551724,0.981005946651342,0.9916715930034428,0.9529133819445323,0.9654066835900824,0.9892280071813284,0.9328859060402684,963,2,10,139,2.1878966780000155,15.013028725291733,8
E1,word,full,LogisticRegression,Linear / probabilistic,3,5,4460,1114,0.9823160568299072,0.969283276450512,0.9827034164571206,0.9931181973084814,0.9648199217764312,0.9754737976840422,0.9919210053859964,0.953020134228188,963,2,7,142,2.342432396999925,15.178393177799208,8
